
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.800000e+01 * a0, G = 1.580905e+04, G * par = 3.161810e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.251136e+00
     Dipolar cutoffs Rcut = 1.046777e+01, Lcut = 2.887877e+02

QF = 1, QDEPL = 0: h2 = 1.989378e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.514595e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.512308e+00, DY = 1.635589e-01, DZ = 1.635589e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 2500 (NSNAP = 1250)
                     DT = 1.337576e-02

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
167       1.50619933141e+05   0.000000e+00   -5.283815e-01  2.891468e+01  
168       1.50619933747e+05   0.000000e+00   -5.283358e-01  2.891469e+01  
169       1.50619934692e+05   0.000000e+00   -5.282922e-01  2.891469e+01  
170       1.50619935974e+05   0.000000e+00   -5.282516e-01  2.891470e+01  
171       1.50619937598e+05   0.000000e+00   -5.282149e-01  2.891470e+01  
172       1.50619939565e+05   0.000000e+00   -5.281827e-01  2.891471e+01  
173       1.50619941877e+05   0.000000e+00   -5.281556e-01  2.891472e+01  
174       1.50619944532e+05   0.000000e+00   -5.281342e-01  2.891473e+01  
175       1.50619947529e+05   0.000000e+00   -5.281192e-01  2.891474e+01  
176       1.50619950864e+05   0.000000e+00   -5.281113e-01  2.891475e+01  
177       1.50619954532e+05   0.000000e+00   -5.281112e-01  2.891476e+01  
178       1.50619958518e+05   0.000000e+00   -5.281195e-01  2.891477e+01  
179       1.50619962807e+05   0.000000e+00   -5.281363e-01  2.891478e+01  
180       1.50619967391e+05   0.000000e+00   -5.281613e-01  2.891479e+01  
181       1.50619972266e+05   0.000000e+00   -5.281935e-01  2.891481e+01  
182       1.50619977418e+05   0.000000e+00   -5.282312e-01  2.891482e+01  
183       1.50619982818e+05   0.000000e+00   -5.282727e-01  2.891483e+01  
184       1.50619988433e+05   0.000000e+00   -5.283163e-01  2.891485e+01  
185       1.50619994258e+05   0.000000e+00   -5.283603e-01  2.891487e+01  
186       1.50620000297e+05   0.000000e+00   -5.284037e-01  2.891488e+01  
187       1.50620006552e+05   0.000000e+00   -5.284453e-01  2.891490e+01  
188       1.50620013000e+05   0.000000e+00   -5.284843e-01  2.891492e+01  
189       1.50620019612e+05   0.000000e+00   -5.285198e-01  2.891494e+01  
190       1.50620026364e+05   0.000000e+00   -5.285507e-01  2.891495e+01  
191       1.50620033250e+05   0.000000e+00   -5.285760e-01  2.891497e+01  
192       1.50620040282e+05   0.000000e+00   -5.285948e-01  2.891499e+01  
193       1.50620047472e+05   0.000000e+00   -5.286067e-01  2.891501e+01  
194       1.50620054811e+05   0.000000e+00   -5.286119e-01  2.891504e+01  
195       1.50620062273e+05   0.000000e+00   -5.286113e-01  2.891506e+01  
196       1.50620069842e+05   0.000000e+00   -5.286065e-01  2.891508e+01  
197       1.50620077525e+05   0.000000e+00   -5.285994e-01  2.891510e+01  
198       1.50620085321e+05   0.000000e+00   -5.285921e-01  2.891513e+01  
199       1.50620093218e+05   0.000000e+00   -5.285865e-01  2.891515e+01  
200       1.50620101197e+05   0.000000e+00   -5.285841e-01  2.891517e+01  
201       1.50620109246e+05   0.000000e+00   -5.285863e-01  2.891520e+01  
202       1.50620117355e+05   0.000000e+00   -5.285941e-01  2.891522e+01  
203       1.50620125518e+05   0.000000e+00   -5.286082e-01  2.891525e+01  
204       1.50620133721e+05   0.000000e+00   -5.286294e-01  2.891527e+01  
205       1.50620141945e+05   0.000000e+00   -5.286581e-01  2.891530e+01  
206       1.50620150160e+05   0.000000e+00   -5.286946e-01  2.891533e+01  
207       1.50620158344e+05   0.000000e+00   -5.287388e-01  2.891535e+01  
208       1.50620166487e+05   0.000000e+00   -5.287906e-01  2.891538e+01  
209       1.50620174588e+05   0.000000e+00   -5.288491e-01  2.891541e+01  
210       1.50620182649e+05   0.000000e+00   -5.289132e-01  2.891544e+01  
211       1.50620190666e+05   0.000000e+00   -5.289812e-01  2.891546e+01  
212       1.50620198620e+05   0.000000e+00   -5.290513e-01  2.891549e+01  
213       1.50620206477e+05   0.000000e+00   -5.291215e-01  2.891552e+01  
214       1.50620214196e+05   0.000000e+00   -5.291900e-01  2.891555e+01  
215       1.50620221743e+05   0.000000e+00   -5.292555e-01  2.891558e+01  
216       1.50620229091e+05   0.000000e+00   -5.293169e-01  2.891561e+01  
217       1.50620236235e+05   0.000000e+00   -5.293734e-01  2.891563e+01  
218       1.50620243180e+05   0.000000e+00   -5.294246e-01  2.891566e+01  
219       1.50620249937e+05   0.000000e+00   -5.294702e-01  2.891569e+01  
220       1.50620256504e+05   0.000000e+00   -5.295097e-01  2.891572e+01  
221       1.50620262873e+05   0.000000e+00   -5.295430e-01  2.891575e+01  
222       1.50620269018e+05   0.000000e+00   -5.295697e-01  2.891578e+01  
223       1.50620274903e+05   0.000000e+00   -5.295899e-01  2.891580e+01  
224       1.50620280490e+05   0.000000e+00   -5.296038e-01  2.891583e+01  
225       1.50620285744e+05   0.000000e+00   -5.296117e-01  2.891586e+01  
226       1.50620290640e+05   0.000000e+00   -5.296143e-01  2.891589e+01  
227       1.50620295161e+05   0.000000e+00   -5.296124e-01  2.891591e+01  
228       1.50620299296e+05   0.000000e+00   -5.296071e-01  2.891594e+01  
