
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.800000e+01 * a0, G = 1.401257e+04, G * par = 2.802513e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par = 9.443909e+03, edd = 1.411538e+00
     Dipolar cutoff Rcut = 6.520532e+00, Lcut = 2.093893e+02

QF = 1: h2 = 1.761005e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.206189e+00

GRAD = 0

Trap parameters:
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.271708e+00, DY = 1.018833e-01, DZ = 1.018833e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 5.190105e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      <r>            <x>            <y>            <z>
282       2.123247e+01   2.120540e+01   7.578496e-01   7.578496e-01  
283       2.124038e+01   2.121320e+01   7.595360e-01   7.595360e-01  
284       2.124844e+01   2.122116e+01   7.611655e-01   7.611655e-01  
285       2.125665e+01   2.122926e+01   7.627441e-01   7.627441e-01  
286       2.126497e+01   2.123749e+01   7.642787e-01   7.642787e-01  
287       2.127339e+01   2.124581e+01   7.657767e-01   7.657767e-01  
288       2.128189e+01   2.125421e+01   7.672455e-01   7.672455e-01  
289       2.129043e+01   2.126266e+01   7.686924e-01   7.686923e-01  
290       2.129900e+01   2.127114e+01   7.701242e-01   7.701242e-01  
291       2.130758e+01   2.127962e+01   7.715478e-01   7.715477e-01  
292       2.131614e+01   2.128809e+01   7.729698e-01   7.729698e-01  
293       2.132468e+01   2.129654e+01   7.743972e-01   7.743972e-01  
294       2.133317e+01   2.130494e+01   7.758376e-01   7.758375e-01  
295       2.134161e+01   2.131328e+01   7.772992e-01   7.772991e-01  
296       2.134999e+01   2.132157e+01   7.787913e-01   7.787912e-01  
297       2.135830e+01   2.132978e+01   7.803232e-01   7.803231e-01  
298       2.136655e+01   2.133791e+01   7.819041e-01   7.819040e-01  
299       2.137471e+01   2.134597e+01   7.835421e-01   7.835420e-01  
300       2.138281e+01   2.135396e+01   7.852446e-01   7.852445e-01  
301       2.139084e+01   2.136187e+01   7.870183e-01   7.870182e-01  
302       2.139881e+01   2.136971e+01   7.888690e-01   7.888689e-01  
303       2.140673e+01   2.137749e+01   7.908024e-01   7.908023e-01  
304       2.141457e+01   2.138520e+01   7.928244e-01   7.928243e-01  
305       2.142235e+01   2.139283e+01   7.949413e-01   7.949411e-01  
306       2.143004e+01   2.140036e+01   7.971596e-01   7.971595e-01  
