
**********************************************
Real-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 7.500000e+01 * a0, G = 1.347362e+04, G * par = 2.694724e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.101000e+02 * a0, GD = 4.721954e+03, GD * par =  9.443909e+03, edd = 1.468000e+00
     Dipolar cutoffs Rcut = 5.847901e+00, Lcut = 1.936235e+02

QF = 1, QDEPL = 0: h2 = 1.696559e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 4.469722e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 3.025367e+00, DY = 9.137345e-02, DZ = 9.137345e-02
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 5000 (NSNAP = 2000)
                     DT = 4.174554e-03

Initial state: file ./imag3d-finalpsi.bin
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-12, MUEND=1.000000e+05

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
191       1.50187723692e+05   0.000000e+00   -1.756583e+00  1.941245e+01  
192       1.50198864730e+05   0.000000e+00   -1.659714e+00  1.941262e+01  
193       1.50210984171e+05   0.000000e+00   -1.572403e+00  1.941275e+01  
194       1.50223818057e+05   0.000000e+00   -1.495259e+00  1.941285e+01  
195       1.50237083765e+05   0.000000e+00   -1.428638e+00  1.941293e+01  
196       1.50250516260e+05   0.000000e+00   -1.372616e+00  1.941300e+01  
197       1.50263865377e+05   0.000000e+00   -1.326935e+00  1.941305e+01  
198       1.50276887056e+05   0.000000e+00   -1.290975e+00  1.941310e+01  
199       1.50289301082e+05   0.000000e+00   -1.263744e+00  1.941314e+01  
200       1.50300698032e+05   0.000000e+00   -1.243852e+00  1.941320e+01  
201       1.50310243935e+05   0.000000e+00   -1.229212e+00  1.941330e+01  
202       1.50315450724e+05   0.000000e+00   -1.215424e+00  1.941357e+01  
203       1.50304733010e+05   0.000000e+00   -1.184198e+00  1.941458e+01  
204       1.50172610202e+05   0.000000e+00   -7.094117e-01  1.942165e+01  
205       1.50295992676e+05   0.000000e+00   -7.169707e-01  1.941574e+01  
206       1.50262307476e+05   0.000000e+00   -8.015895e-01  1.941768e+01  
207       1.50450981518e+05   0.000000e+00   -7.986428e-01  1.940832e+01  
208       1.50320741777e+05   0.000000e+00   -8.287696e-01  1.941495e+01  
209       1.50396624270e+05   0.000000e+00   -6.136170e-01  1.941112e+01  
210       1.50323723549e+05   0.000000e+00   -7.229488e-01  1.941466e+01  
211       1.50308220382e+05   0.000000e+00   -5.366489e-01  1.941531e+01  
212       1.50298936548e+05   0.000000e+00   -7.249534e-01  1.941549e+01  
213       1.50223941733e+05   0.000000e+00   -6.055994e-01  1.941905e+01  
214       1.50274480393e+05   0.000000e+00   -7.849560e-01  1.941612e+01  
215       1.50155714629e+05   0.000000e+00   -6.770710e-01  1.942187e+01  
216       1.50273356841e+05   0.000000e+00   -8.347938e-01  1.941551e+01  
217       1.50117602339e+05   0.000000e+00   -7.413700e-01  1.942314e+01  
218       1.50289805775e+05   0.000000e+00   -8.785700e-01  1.941405e+01  
219       1.50105063063e+05   0.000000e+00   -7.961718e-01  1.942319e+01  
220       1.50310052241e+05   0.000000e+00   -9.007405e-01  1.941251e+01  
221       1.50100811171e+05   0.000000e+00   -8.244632e-01  1.942297e+01  
222       1.50325382460e+05   0.000000e+00   -9.013123e-01  1.941142e+01  
223       1.50097199383e+05   0.000000e+00   -8.285968e-01  1.942294e+01  
224       1.50338417282e+05   0.000000e+00   -8.889943e-01  1.941071e+01  
225       1.50091297326e+05   0.000000e+00   -8.169485e-01  1.942334e+01  
226       1.50354108126e+05   0.000000e+00   -8.695398e-01  1.941021e+01  
227       1.50084758954e+05   0.000000e+00   -7.947315e-01  1.942416e+01  
228       1.50376571499e+05   0.000000e+00   -8.437185e-01  1.940980e+01  
229       1.50079455244e+05   0.000000e+00   -7.630279e-01  1.942538e+01  
230       1.50408245430e+05   0.000000e+00   -8.087010e-01  1.940942e+01  
231       1.50078240418e+05   0.000000e+00   -7.204964e-01  1.942691e+01  
232       1.50449819529e+05   0.000000e+00   -7.607548e-01  1.940910e+01  
233       1.50084383924e+05   0.000000e+00   -6.649152e-01  1.942868e+01  
